"State","abs_redn_ER","pc_redn_ER"
"AL",33.8629517874021,0.0837
"AR",27.1934586664788,0.1069
"AZ",22.0137001156175,0.0424
"CA",266.965360686653,0.1852
"CO",32.2388319995339,0.0407
"CT",96.112793871694,0.3454
"DC",5.52494478669709,0.0795
"DE",12.6533267242162,0.1254
"FL",44.5893664394011,0.0294
"GA",81.3863157970227,0.0774
"IA",56.2762245714287,0.1458
"ID",22.851886323726,0.1538
"IL",58.7187102092062,0.0385
"IN",55.475856913662,0.0601
"KS",45.4541795122373,0.1355
"KY",38.357774630612,0.0726
"LA",26.3562781130345,0.0663
"MA",193.625105281665,0.3096
"MD",60.3900123075859,0.1126
"ME",43.3530105349791,0.327
"MI",140.703413545295,0.1243
"MN",96.5309190317281,0.1336
"MO",70.7690559562105,0.0873
"MS",19.9885620137591,0.0771
"MT",19.8718943791007,0.1715
"NC",77.6113833402222,0.1007
"ND",17.220918913514,0.1086
"NE",36.9228976481886,0.1487
"NH",42.612373286958,0.3546
"NJ",159.778578198313,0.1907
"NM",17.9103833854559,0.1234
"NV",20.93664373705,0.088
"NY",484.057151129262,0.3303
"OH",87.4250612411918,0.0585
"OK",53.150131774906,0.1739
"OR",38.3267088270316,0.143
"PA",217.685514071708,0.1664
"RI",28.3738734938264,0.3333
"SC",32.9313060799368,0.088
"SD",14.4043472549722,0.1135
"TN",49.9776455608967,0.064
"TX",146.782627547584,0.0666
"UT",36.8961162390741,0.1445
"VA",82.716599745866,0.1134
"VT",17.2965126401199,0.3156
"WA",70.4083510004217,0.133
"WI",49.4678343671831,0.0695
"WV",13.4996670902457,0.0587
"WY",8.40144711731577,0.1008
