"State","abs_redn_DERFA","pc_redn_DERFA"
"AL",10.4697114274514,0.0259
"AR",12.8339585733227,0.0504
"AZ",26.2870443752647,0.0506
"CA",147.998454519442,0.1027
"CO",40.2530886830897,0.0508
"CT",8.88857724402789,0.0319
"DC",4.86901466819543,0.0701
"DE",7.12587049439217,0.0706
"FL",85.3935728561778,0.0563
"GA",96.6598073883895,0.0919
"IA",19.5245040579057,0.0506
"ID",11.2206101486821,0.0755
"IL",46.3345155200197,0.0304
"IN",29.3466144436867,0.0318
"KS",11.7886822570051,0.0352
"KY",16.7268234263,0.0317
"LA",17.9908746956061,0.0452
"MA",34.5851253693769,0.0553
"MD",31.5844809977841,0.0589
"ME",4.73267087707038,0.0357
"MI",53.9086801526876,0.0476
"MN",43.665037580549,0.0605
"MO",22.5582745779362,0.0278
"MS",6.76463643710133,0.0261
"MT",8.58930346768963,0.0741
"NC",59.0561797935492,0.0766
"ND",12.483705522894,0.0787
"NE",14.1642694882647,0.057
"NH",4.32959720068071,0.036
"NJ",32.0869668843868,0.0383
"NM",6.72774032268404,0.0463
"NV",14.5108688050475,0.061
"NY",62.9133887245193,0.0429
"OH",38.2446712273797,0.0256
"OK",30.5939751377891,0.1001
"OR",10.1985786450488,0.0381
"PA",31.5731106358164,0.0241
"RI",3.07298994617666,0.0361
"SC",29.0669115192348,0.0777
"SD",6.1962746632117,0.0488
"TN",22.1757050415852,0.0284
"TX",199.171043123185,0.0904
"UT",23.5158860883517,0.0921
"VA",60.9788853070016,0.0836
"VT",1.71460411549958,0.0313
"WA",29.7002971502995,0.0561
"WI",23.564837979585,0.0331
"WV",7.19128516738095,0.0313
"WY",3.97936070140685,0.0477
