"State","abs_redn_hiMF","pc_redn_hiMF"
"AL",7.74934756323182,0.0192
"AR",8.68329914946079,0.0341
"AZ",19.4816401087064,0.0375
"CA",87.3751049507666,0.0606
"CO",34.3067347737535,0.0433
"CT",6.02155642292951,0.0216
"DC",2.52154316302536,0.0363
"DE",4.6458707450534,0.0461
"FL",81.6063289363485,0.0538
"GA",55.5069045584838,0.0528
"IA",10.2999281580168,0.0267
"ID",5.28189659002177,0.0355
"IL",13.2668978896074,0.0087
"IN",26.8768865352778,0.0291
"KS",8.05506093808981,0.024
"KY",13.6723269992937,0.0259
"LA",11.4690167180489,0.0288
"MA",22.1683290071285,0.0354
"MD",21.3784792205968,0.0399
"ME",2.40653934980216,0.0182
"MI",33.8832297527968,0.0299
"MN",28.3747028062942,0.0393
"MO",13.1611992315014,0.0162
"MS",7.28777233128616,0.0281
"MT",5.17999348123894,0.0447
"NC",34.9729245969286,0.0454
"ND",6.6563791787672,0.042
"NE",7.04784872944023,0.0284
"NH",2.03012333347242,0.0169
"NJ",23.7920792937789,0.0284
"NM",2.3400977133773,0.0161
"NV",11.0952424301978,0.0467
"NY",35.1591648966503,0.024
"OH",21.6094139676529,0.0145
"OK",14.1812431088545,0.0464
"OR",10.5489840343074,0.0394
"PA",21.0358346096843,0.0161
"RI",0.940145279655539,0.011
"SC",21.1340566161751,0.0565
"SD",4.936021669084,0.0389
"TN",23.401378299348,0.0299
"TX",112.999748860464,0.0513
"UT",13.4601927732286,0.0527
"VA",34.3163345850942,0.047
"VT",0.992432873201103,0.0181
"WA",25.1556957149571,0.0475
"WI",14.2573713045505,0.02
"WV",4.65050509647224,0.0202
"WY",2.14823624355415,0.0258
