"State","abs_redn_ER_LRE","pc_redn_ER_LRE"
"AL",142.069407641419,0.3511
"AR",56.7199149986044,0.2229
"AZ",89.4634193863284,0.1724
"CA",354.420796700635,0.2459
"CO",132.369053326048,0.1671
"CT",123.487418548182,0.4438
"DC",16.1410873227708,0.2323
"DE",27.1844533093474,0.2695
"FL",342.747842000869,0.2259
"GA",340.44987721316,0.3237
"IA",173.479873635133,0.4495
"ID",46.3374302548151,0.3118
"IL",492.109951668284,0.3226
"IN",292.416507760267,0.3169
"KS",179.295159118334,0.5346
"KY",202.79124204022,0.384
"LA",53.6344515651414,0.1349
"MA",252.948849626001,0.4045
"MD",148.253539389852,0.2765
"ME",55.2868309852259,0.417
"MI",296.046717426221,0.2616
"MN",309.252412184757,0.4281
"MO",386.94092864185,0.4771
"MS",55.4814820982481,0.2141
"MT",38.0358158594345,0.3282
"NC",234.816758714471,0.3046
"ND",67.5391305210976,0.4259
"NE",108.624414504691,0.4374
"NH",53.7336524918166,0.4471
"NJ",264.950157726759,0.3162
"NM",35.0640298939384,0.2416
"NV",52.0178729246877,0.2187
"NY",530.139650816772,0.3617
"OH",465.193223839401,0.3113
"OK",126.449810577896,0.4137
"OR",87.2884856548135,0.3257
"PA",429.609013782187,0.3284
"RI",36.4698754870355,0.4284
"SC",111.980050380402,0.2993
"SD",49.8031262666337,0.3925
"TN",305.983265942646,0.3916
"TX",622.285103678327,0.2825
"UT",73.3732255140233,0.2874
"VA",228.100345229357,0.3127
"VT",22.5656002388653,0.4118
"WA",166.593251075237,0.3147
"WI",268.099708556879,0.3764
"WV",73.9038267807014,0.3212
"WY",18.9590843498708,0.2274
